Player,Team,Total Kills,AVG Kills,Total Deaths,AVG Deaths,Total Assists,AVG Assists,KDA Ratio,Kill Participation
Pheww,FCAP,49,1.44,64,1.88,225,6.62,4.28,71.92%
KyleTzy,FCAP,134,3.94,55,1.62,155,4.56,5.25,75.85%
Owgwen,FCAP,33,0.97,92,2.71,235,6.91,2.91,70.34%
Super Marco,FCAP,108,3.18,30,0.88,125,3.68,7.77,61.15%
FlapTzy,FCAP,57,1.68,95,2.79,185,5.44,2.55,63.52%
Pando,FCAP,-,-,-,-,-,-,-,-
KarlTzy,TLPH,90,3.91,55,2.39,103,4.48,3.51,67.96%
Jaypee,TLPH,23,0.77,101,3.37,241,8.03,2.61,69.29%
Sanford,TLPH,54,1.80,97,3.23,224,7.47,2.87,72.97%
Sanji,TLPH,81,2.70,61,2.03,224,7.47,5.00,80.05%
Bennyqt,TLPH,101,3.37,43,1.43,125,4.17,5.26,59.32%
Zaida,TLPH,32,4.57,17,2.43,34,4.86,3.88,68.04%
Spider-Milez,FNOP,-,-,4,2.00,22,11.00,5.50,81.48%
K1NGKONG,FNOP,158,4.65,38,1.12,138,4.06,7.79,69.00%
Super Frince,FNOP,75,2.21,35,1.03,250,7.35,9.29,75.76%
Kirk,FNOP,56,1.65,80,2.35,211,6.21,3.34,62.24%
Kelra,FNOP,123,3.62,37,1.09,160,4.71,7.65,65.97%
Brusko,FNOP,17,0.53,81,2.53,241,7.53,3.19,64.18%
Ch4knu,OMG,27,0.82,99,3.00,284,8.61,3.14,74.94%
Andoryuuu,OMG,164,4.97,60,1.82,136,4.12,5.00,72.29%
UK1R,OMG,67,2.09,38,1.19,252,7.88,8.39,78.38%
RYOTA,OMG,61,1.85,83,2.52,186,5.64,2.98,59.52%
JOWM,OMG,95,2.88,56,1.70,170,5.15,4.73,63.86%
RIBO,OMG,-,-,-,-,-,-,-,-
Hadji,BLCK,60,1.88,55,1.72,155,4.84,3.91,74.14%
Oheb,BLCK,74,2.96,37,1.48,86,3.44,4.32,63.49%
MP the King,BLCK,99,3.09,77,2.41,126,3.94,2.92,77.59%
Perkz,BLCK,7,0.29,62,2.58,164,6.83,2.76,71.25%
Dlar,BLCK,2,0.50,13,3.25,10,2.50,0.92,52.17%
OUTPLAYED,BLCK,6,0.86,6,0.86,23,3.29,4.83,76.32%
Lord JM,BLCK,29,1.04,91,3.25,148,5.29,1.95,66.29%
Marktzy,BLCK,-,-,-,-,-,-,-,-
Kimpoy,BLCK,-,-,-,-,-,-,-,-
Exort,BLCK,13,1.62,15,1.88,23,2.88,2.40,72.00%
Escalera,TNC,29,0.85,127,3.74,187,5.50,1.70,67.92%
Kouzen,TNC,90,2.65,58,1.71,107,3.15,3.40,61.95%
Kzen,TNC,55,2.62,50,2.38,73,3.48,2.56,69.19%
Heads,TNC,50,1.47,116,3.41,139,4.09,1.63,59.43%
Hatred,TNC,27,1.80,30,2.00,77,5.13,3.47,72.73%
LanceCy,TNC,31,1.63,46,2.42,94,4.95,2.72,71.43%
SDzyz,TNC,36,2.77,36,2.77,58,4.46,2.61,70.68%
Light,RSG PH,32,0.97,101,3.06,171,5.18,2.01,71.73%
AQUA,RSG PH,52,1.58,54,1.64,191,5.79,4.50,85.87%
Kusey,RSG PH,59,1.79,44,1.33,106,3.21,3.75,58.30%
1rrad,RSG PH,96,2.91,78,2.36,99,3.00,2.50,68.90%
Nibor,RSG PH,36,1.29,78,2.79,154,5.50,2.44,76.00%
Nathzz,RSG PH,8,1.60,12,2.40,18,3.60,2.17,78.79%
Renejay,RORA,30,0.83,129,3.58,238,6.61,2.08,68.89%
Demonkite,RORA,145,4.03,61,1.69,141,3.92,4.69,73.52%
Domeng,RORA,91,2.53,45,1.25,145,4.03,5.24,60.67%
Edward1,RORA,55,1.53,96,2.67,208,5.78,2.74,67.61%
Yue,RORA,68,1.89,48,1.33,233,6.47,6.27,77.38%
Benthings,RORA,-,-,-,-,-,-,-,-
