Hero,Pick,Pick Rate,Ban,Ban Rate,Win,Win Rate
Balmond,0,0.00%,0,0.00%,0,0%
Saber,0,0.00%,0,0.00%,0,0%
Alice,4,2.34%,6,3.51%,3,75%
Nana,1,0.58%,0,0.00%,1,100%
Tigreal,40,23.39%,61,35.67%,26,65%
Alucard,0,0.00%,0,0.00%,0,0%
Karina,0,0.00%,0,0.00%,0,0%
Franco,1,0.58%,0,0.00%,1,100%
Bane,11,6.43%,4,2.34%,6,54.55%
Bruno,8,4.68%,0,0.00%,3,37.5%
Clint,3,1.75%,0,0.00%,1,33.33%
Rafaela,1,0.58%,0,0.00%,1,100%
Eudora,0,0.00%,0,0.00%,0,0%
Zilong,0,0.00%,0,0.00%,0,0%
Fanny,13,7.60%,98,57.31%,8,61.54%
Layla,0,0.00%,0,0.00%,0,0%
Minotaur,11,6.43%,11,6.43%,9,81.82%
Lolita,15,8.77%,9,5.26%,7,46.67%
Hayabusa,51,29.82%,40,23.39%,29,56.86%
Freya,0,0.00%,0,0.00%,0,0%
Gord,0,0.00%,0,0.00%,0,0%
Natalia,0,0.00%,0,0.00%,0,0%
Kagura,1,0.58%,0,0.00%,0,0%
Chou,38,22.22%,22,12.87%,18,47.37%
Sun,0,0.00%,0,0.00%,0,0%
Alpha,6,3.51%,10,5.85%,3,50%
Ruby,30,17.54%,28,16.37%,14,46.67%
Yi Sun-Shin,0,0.00%,0,0.00%,0,0%
Moskov,62,36.26%,43,25.15%,29,46.77%
Johnson,0,0.00%,0,0.00%,0,0%
Cyclops,0,0.00%,0,0.00%,0,0%
Estes,0,0.00%,0,0.00%,0,0%
Hilda,0,0.00%,0,0.00%,0,0%
Aurora,32,18.71%,12,7.02%,10,31.25%
Lapu-lapu,0,0.00%,0,0.00%,0,0%
Vexana,39,22.81%,25,14.62%,20,51.28%
Roger,50,29.24%,36,21.05%,26,52%
Karrie,23,13.45%,14,8.19%,13,56.52%
Gatotkaca,26,15.20%,10,5.85%,12,46.15%
Harley,0,0.00%,0,0.00%,0,0%
Irithel,0,0.00%,0,0.00%,0,0%
Grock,26,15.20%,28,16.37%,11,42.31%
Argus,0,0.00%,0,0.00%,0,0%
Odette,0,0.00%,0,0.00%,0,0%
Lancelot,3,1.75%,1,0.58%,2,66.67%
Diggie,1,0.58%,0,0.00%,0,0%
Hylos,46,26.90%,50,29.24%,21,45.65%
Zhask,44,25.73%,22,12.87%,24,54.55%
Helcurt,2,1.17%,0,0.00%,0,0%
Pharsa,0,0.00%,0,0.00%,0,0%
Lesley,0,0.00%,0,0.00%,0,0%
Jawhead,28,16.37%,27,15.79%,12,42.86%
Angela,4,2.34%,9,5.26%,2,50%
Gusion,0,0.00%,0,0.00%,0,0%
Valir,0,0.00%,0,0.00%,0,0%
Martis,1,0.58%,0,0.00%,0,0%
Uranus,0,0.00%,0,0.00%,0,0%
Hanabi,1,0.58%,1,0.58%,1,100%
Chang'e,0,0.00%,0,0.00%,0,0%
Kaja,6,3.51%,9,5.26%,2,33.33%
Selena,0,0.00%,0,0.00%,0,0%
Aldous,0,0.00%,0,0.00%,0,0%
Claude,40,23.39%,14,8.19%,19,47.5%
Vale,0,0.00%,0,0.00%,0,0%
Leomord,0,0.00%,0,0.00%,0,0%
Lunox,8,4.68%,12,7.02%,3,37.5%
Hanzo,1,0.58%,0,0.00%,1,100%
Belerick,3,1.75%,2,1.17%,2,66.67%
Kimmy,0,0.00%,0,0.00%,0,0%
Thamuz,4,2.34%,0,0.00%,1,25%
Harith,45,26.32%,75,43.86%,26,57.78%
Minsitthar,1,0.58%,1,0.58%,0,0%
Kadita,0,0.00%,0,0.00%,0,0%
Faramis,30,17.54%,38,22.22%,16,53.33%
Badang,0,0.00%,0,0.00%,0,0%
Khufra,5,2.92%,7,4.09%,3,60%
Granger,0,0.00%,0,0.00%,0,0%
Guinevere,1,0.58%,0,0.00%,0,0%
Esmeralda,0,0.00%,0,0.00%,0,0%
Terizla,44,25.73%,12,7.02%,15,34.09%
X.Borg,8,4.68%,4,2.34%,3,37.5%
Ling,47,27.49%,64,37.43%,22,46.81%
Dyrroth,0,0.00%,0,0.00%,0,0%
Lylia,12,7.02%,2,1.17%,9,75%
Baxia,1,0.58%,0,0.00%,0,0%
Masha,1,0.58%,0,0.00%,0,0%
Wanwan,4,2.34%,3,1.75%,2,50%
Silvanna,0,0.00%,0,0.00%,0,0%
Cecilion,1,0.58%,0,0.00%,1,100%
Carmilla,4,2.34%,0,0.00%,3,75%
Atlas,0,0.00%,0,0.00%,0,0%
Popol and Kupa,0,0.00%,0,0.00%,0,0%
Yu Zhong,1,0.58%,0,0.00%,0,0%
Luo Yi,24,14.04%,30,17.54%,15,62.5%
Benedetta,2,1.17%,0,0.00%,0,0%
Khaleed,20,11.70%,11,6.43%,10,50%
Barats,2,1.17%,2,1.17%,1,50%
Brody,2,1.17%,0,0.00%,0,0%
Yve,8,4.68%,4,2.34%,2,25%
Mathilda,26,15.20%,34,19.88%,14,53.85%
Paquito,1,0.58%,0,0.00%,0,0%
Gloo,3,1.75%,1,0.58%,2,66.67%
Beatrix,10,5.85%,2,1.17%,5,50%
Phoveus,34,19.88%,69,40.35%,23,67.65%
Natan,12,7.02%,12,7.02%,7,58.33%
Aulus,0,0.00%,0,0.00%,0,0%
Floryn,0,0.00%,0,0.00%,0,0%
Valentina,50,29.24%,21,12.28%,24,48%
Aamon,0,0.00%,0,0.00%,0,0%
Akai,2,1.17%,0,0.00%,1,50%
Miya,0,0.00%,0,0.00%,0,0%
Edith,76,44.44%,48,28.07%,43,56.58%
Yin,0,0.00%,0,0.00%,0,0%
Melissa,4,2.34%,3,1.75%,2,50%
Xavier,0,0.00%,0,0.00%,0,0%
Julian,50,29.24%,25,14.62%,18,36%
Fredrinn,1,0.58%,0,0.00%,0,0%
Joy,4,2.34%,4,2.34%,1,25%
Arlott,35,20.47%,21,12.28%,14,40%
Ixia,2,1.17%,1,0.58%,1,50%
Novaria,0,0.00%,1,0.58%,0,0%
Nolan,48,28.07%,33,19.30%,27,56.25%
Cici,6,3.51%,2,1.17%,5,83.33%
Chip,0,0.00%,133,77.78%,0,0%
Zhuxin,19,11.11%,63,36.84%,9,47.37%
